init_id,part_number,title,sbt_price,cost,has_stock,stock_eta,description,applications,sku
41-113,41-113,Installation Gasket Kit for Sea-Doo 4-Tec Supercharged Only GTX SC LTD /GTX SC /RXP SC /Challenger,48.25,28.95,True,,"All gaskets necessary to install your SBT remanufactured motor



",2003 Sea-Doo GTX 4 Tec SC LTD Installation Gasket Kit 2003 Sea-Doo GTX 4 Tec SC Installation Gasket Kit 2004 Sea-Doo GTX 4 Tec SC LTD Installation Gasket Kit 2004 Sea-Doo GTX 4 Tec SC Installation Gasket Kit 2004 Sea-Doo RXP SC Installation Gasket Kit 2005 Sea-Doo Challenger 180 Installation Gasket Kit 2005 Sea-Doo GTX 4 Tec SC LTD Installation Gasket Kit 2005 Sea-Doo GTX 4 Tec SC Installation Gasket Kit 2005 Sea-Doo Sportster 200 SC Installation Gasket Kit 2006 Sea-Doo Challenger 180 Installation Gasket Kit 2006 Sea-Doo GTX LTD Installation Gasket Kit 2006 Sea-Doo GTX SC Installation Gasket Kit 2006 Sea-Doo RXP SC Installation Gasket Kit 2006 Sea-Doo RXT Installation Gasket Kit 2006 Sea-Doo Speedster SC Installation Gasket Kit 2006 Sea-Doo Sportster SCIC Installation Gasket Kit 2007 Sea-Doo Challenger 180 Installation Gasket Kit 2007 Sea-Doo Challenger 230 SC Installation Gasket Kit 2007 Sea-Doo GTX LTD Installation Gasket Kit 2007 Sea-Doo GTX Wake BVIC Installation Gasket Kit 2007 Sea-Doo RXP BVIC Installation Gasket Kit 2007 Sea-Doo RXP SC Installation Gasket Kit 2007 Sea-Doo RXT BVIC Installation Gasket Kit 2007 Sea-Doo Speedster SC Installation Gasket Kit,{11: 'SD0640'}
41-109,41-109,Installation Gasket Kit for Sea-Doo 951 GSX-L /GTX /XP LTD /VSP-L /LRV /Sport LE 1997.5-2000,41.55,24.9,True,,"This kit is every gasket needed for installation of an SBT short block, following our installation guidelines. It includes (where used): flywheel cover, intake manifold, carb base/mounting plate, exhaust manifold, headpipe & cooling gaskets/o-rings.

",1997.5 Sea-Doo GSX-L Installation Gasket Kit 1998 Sea-Doo GSX-L Installation Gasket Kit 1998 Sea-Doo GTX Installation Gasket Kit 1998 Sea-Doo XP LTD Installation Gasket Kit 1999 Sea-Doo GSX-L Installation Gasket Kit 1999 Sea-Doo GTX Installation Gasket Kit 1999 Sea-Doo VSP-L Installation Gasket Kit 1999 Sea-Doo XP LTD Installation Gasket Kit 2000 Sea-Doo GTX Installation Gasket Kit 2000 Sea-Doo LRV Installation Gasket Kit 2000 Sea-Doo RX Installation Gasket Kit 2000 Sea-Doo Sport LE Installation Gasket Kit 2000 Sea-Doo VSP-L Installation Gasket Kit 2000 Sea-Doo XP LTD Installation Gasket Kit,{12: 'SD0669'}
41-109A,41-109A,Installation Gasket Kit for Sea-Doo 951 GTX /Sport LE /RX /VSP-L /XP LTD 2001-2003,41.55,24.9,True,,"This kit is every gasket needed for installation of an SBT short block, following our installation guidelines. It includes (where used): flywheel cover, intake manifold, carb base/mounting plate, exhaust manifold, headpipe & cooling gaskets/o-rings.

",2001 Sea-Doo GTX Installation Gasket Kit 2001 Sea-Doo RX Installation Gasket Kit 2001 Sea-Doo Sport LE Installation Gasket Kit 2001 Sea-Doo VSP-L Installation Gasket Kit 2001 Sea-Doo XP LTD Installation Gasket Kit 2002 Sea-Doo RX Installation Gasket Kit 2002 Sea-Doo Sport LE Installation Gasket Kit 2002 Sea-Doo VSP-L Installation Gasket Kit 2002 Sea-Doo XP LTD Installation Gasket Kit 2003 Sea-Doo RX Installation Gasket Kit 2003 Sea-Doo Sport LE Installation Gasket Kit 2003 Sea-Doo VSP-L Installation Gasket Kit,{13: 'SD0679'}
41-110,41-110,Installation Gasket Kit for Sea-Doo 787 RFI GTX RFI /GSX RFI /GTI LE RFI /GTI RFI /3D RFI 1998-2005,41.55,24.9,True,,"This kit is every gasket needed for installation of an SBT short block, following our installation guidelines. It includes (where used): flywheel cover, intake manifold, carb base/mounting plate, exhaust manifold, headpipe & cooling gaskets/o-rings.

",1998 Sea-Doo GTX RFI Installation Gasket Kit 1999 Sea-Doo GSX RFI Installation Gasket Kit 1999 Sea-Doo GTX RFI Installation Gasket Kit 2000 Sea-Doo GSX RFI Installation Gasket Kit 2000 Sea-Doo GTX RFI Installation Gasket Kit 2001 Sea-Doo GTX RFI Installation Gasket Kit 2002 Sea-Doo GTX RFI Installation Gasket Kit 2003 Sea-Doo GTI LE RFI Installation Gasket Kit 2003 Sea-Doo GTI RFI Installation Gasket Kit 2004 Sea-Doo GTI LE RFI Installation Gasket Kit 2004 Sea-Doo GTI RFI Installation Gasket Kit 2005 Sea-Doo 3D RFI Installation Gasket Kit,{14: 'SD0691'}
41-107,41-107,Installation Gasket Kit for Sea-Doo 787 XP800 /GSX /GTX /XP /Challenger 1800 /Challenger /SPX 1995+,38.95,23.35,True,,"This kit is every gasket needed for installation of an SBT short block, following our installation guidelines. It includes (where used): flywheel cover, intake manifold, carb base/mounting plate, exhaust manifold, headpipe & cooling gaskets/o-rings.

",1995 Sea-Doo XP800 Installation Gasket Kit 1996 Sea-Doo Challenger Installation Gasket Kit 1996 Sea-Doo GSX Installation Gasket Kit 1996 Sea-Doo GTX Installation Gasket Kit 1996 Sea-Doo XP Installation Gasket Kit 1997 Sea-Doo Challenger 1800 Installation Gasket Kit 1997 Sea-Doo Challenger Installation Gasket Kit 1997 Sea-Doo GSX Installation Gasket Kit 1997 Sea-Doo GTX Installation Gasket Kit 1997 Sea-Doo SPX Installation Gasket Kit 1997 Sea-Doo XP Installation Gasket Kit 1998 Sea-Doo Challenger Installation Gasket Kit 1998 Sea-Doo GSX Installation Gasket Kit 1998 Sea-Doo SPX Installation Gasket Kit 1999 Sea-Doo Challenger 1800 Installation Gasket Kit 1999 Sea-Doo SPX Installation Gasket Kit,{15: 'SD0733'}
41-101,41-101,Installation Gasket Kit for Sea-Doo 587 Yellow SP /GT /SPI /XP 1988-1991,35.95,21.55,True,,"This kit is every gasket needed for installation of an SBT short block, following our installation guidelines. It includes (where used): flywheel cover, intake manifold, carb base/mounting plate, exhaust manifold, headpipe & cooling gaskets/o-rings.",1988 Sea-Doo SP Installation Gasket Kit 1989 Sea-Doo SP Installation Gasket Kit 1990 Sea-Doo GT Installation Gasket Kit 1990 Sea-Doo SP Installation Gasket Kit 1991 Sea-Doo GT Installation Gasket Kit 1991 Sea-Doo SP Installation Gasket Kit 1991 Sea-Doo SPI Installation Gasket Kit 1991 Sea-Doo XP Installation Gasket Kit,{16: 'SD0745'}
RD028,RD028,Crankshaft Connecting Rod for Kawasaki STX-12F STX 13251 3701 2003-2007,123.95,74.35,True,,New OEM Kawasaki Replacement Rod. Fits - 13251-3701,2003 Kawasaki STX-12F Rod 2004 Kawasaki STX-12F Rod 2005 Kawasaki STX-12F Rod 2006 Kawasaki STX-12F Rod 2007 Kawasaki STX-12F Rod,{17: 'SD0750'}
RD029,RD029,Crankshaft Connecting Rod for Kawasaki STX 15-F/ Ultra 300LX/X 310/X/LX 13251-3703JJ 2011-2021,123.95,74.35,False,,"New OE Replacement Kawasaki Connecting Rod
Fits - 13251-3702II
13251-3703II
13251-3703JJ
13251-3702JJ","2004 STX-15F Kawasaki Connecting Rod 
2005 STX-15F Kawasaki Connecting Rod 
2006 STX-15F Kawasaki Connecting Rod 
2007 STX-15F Kawasaki Connecting Rod 
2008 STX-15F Kawasaki Connecting Rod 
2011 STX-15F  Kawasaki Connecting Rod
2012 STX-15F  Kawasaki Connecting Rod
2013 STX-15F  Kawasaki Connecting Rod
2014 STX-15F  Kawasaki Connecting Rod
2015 STX-15F  Kawasaki Connecting Rod
2016 STX-15F  Kawasaki Connecting Rod
2007 Ultra 250X Kawasaki Connecting Rod
2008 Ultra 250X Kawasaki Connecting Rod
2009 Ultra 260LX Kawasaki Connecting Rod
2010 Ultra 260LX Kawasaki Connecting Rod
2009 Ultra 260X Kawasaki Connecting Rod
2010 Ultra 260X Kawasaki Connecting Rod
2011 Ultra 300X  Kawasaki Connecting Rod
2011 Ultra 300X  Kawasaki Connecting Rod
2012 Ultra 300X  Kawasaki Connecting Rod
2012 Ultra 300X  Kawasaki Connecting Rod
2013 Ultra 300X  Kawasaki Connecting Rod
2011 Ultra 300LX  Kawasaki Connecting Rod
2012 Ultra 300LX  Kawasaki Connecting Rod
2013 Ultra 300LX  Kawasaki Connecting Rod
2012 Ultra LX  Kawasaki Connecting Rod
2013 Ultra LX  Kawasaki Connecting Rod
2014 Ultra LX  Kawasaki Connecting Rod
2015 Ultra LX  Kawasaki Connecting Rod
2016 Ultra LX  Kawasaki Connecting Rod
2014 Ultra 310X  Kawasaki Connecting Rod
2015 Ultra 310X  Kawasaki Connecting Rod
2016 Ultra 310X  Kawasaki Connecting Rod
2014 Ultra 310LX  Kawasaki Connecting Rod
2015 Ultra 310LX  Kawasaki Connecting Rod
2016 Ultra 310LX  Kawasaki Connecting Rod
2014 Ultra 310R  Kawasaki Connecting Rod
2015 Ultra 310R  Kawasaki Connecting Rod
2016 Ultra 310R  Kawasaki Connecting Rod
2014 Ultra 310X SE  Kawasaki Connecting Rod
2015 Ultra 310X SE  Kawasaki Connecting Rod
2016 Ultra 310X SE  Kawasaki Connecting Rod",{18: 'SD0753'}
41-102,41-102,Installation Gasket Kit for Sea-Doo 587 White XP /GTX /SPX (White Dual Carb) 1992,35.95,21.55,True,,"This kit is every gasket needed for installation of an SBT short block, following our installation guidelines. It includes (where used): flywheel cover, intake manifold, carb base/mounting plate, exhaust manifold, headpipe & cooling gaskets/o-rings.

",1992 Sea-Doo XP Installation Gasket Kit 1993 Sea-Doo GTX Installation Gasket Kit 1993 Sea-Doo SPX Installation Gasket Kit,{19: 'SD0755'}
RD029,RD029,Crankshaft Connecting Rod for Kawasaki STX 15-F/ Ultra 300LX/X 310/X/LX 13251-3703JJ 2011-2021,123.95,74.35,False,,"New OE Replacement Kawasaki Connecting Rod
Fits - 13251-3702II
13251-3703II
13251-3703JJ
13251-3702JJ","2004 STX-15F Kawasaki Connecting Rod 
2005 STX-15F Kawasaki Connecting Rod 
2006 STX-15F Kawasaki Connecting Rod 
2007 STX-15F Kawasaki Connecting Rod 
2008 STX-15F Kawasaki Connecting Rod 
2011 STX-15F  Kawasaki Connecting Rod
2012 STX-15F  Kawasaki Connecting Rod
2013 STX-15F  Kawasaki Connecting Rod
2014 STX-15F  Kawasaki Connecting Rod
2015 STX-15F  Kawasaki Connecting Rod
2016 STX-15F  Kawasaki Connecting Rod
2007 Ultra 250X Kawasaki Connecting Rod
2008 Ultra 250X Kawasaki Connecting Rod
2009 Ultra 260LX Kawasaki Connecting Rod
2010 Ultra 260LX Kawasaki Connecting Rod
2009 Ultra 260X Kawasaki Connecting Rod
2010 Ultra 260X Kawasaki Connecting Rod
2011 Ultra 300X  Kawasaki Connecting Rod
2011 Ultra 300X  Kawasaki Connecting Rod
2012 Ultra 300X  Kawasaki Connecting Rod
2012 Ultra 300X  Kawasaki Connecting Rod
2013 Ultra 300X  Kawasaki Connecting Rod
2011 Ultra 300LX  Kawasaki Connecting Rod
2012 Ultra 300LX  Kawasaki Connecting Rod
2013 Ultra 300LX  Kawasaki Connecting Rod
2012 Ultra LX  Kawasaki Connecting Rod
2013 Ultra LX  Kawasaki Connecting Rod
2014 Ultra LX  Kawasaki Connecting Rod
2015 Ultra LX  Kawasaki Connecting Rod
2016 Ultra LX  Kawasaki Connecting Rod
2014 Ultra 310X  Kawasaki Connecting Rod
2015 Ultra 310X  Kawasaki Connecting Rod
2016 Ultra 310X  Kawasaki Connecting Rod
2014 Ultra 310LX  Kawasaki Connecting Rod
2015 Ultra 310LX  Kawasaki Connecting Rod
2016 Ultra 310LX  Kawasaki Connecting Rod
2014 Ultra 310R  Kawasaki Connecting Rod
2015 Ultra 310R  Kawasaki Connecting Rod
2016 Ultra 310R  Kawasaki Connecting Rod
2014 Ultra 310X SE  Kawasaki Connecting Rod
2015 Ultra 310X SE  Kawasaki Connecting Rod
2016 Ultra 310X SE  Kawasaki Connecting Rod",{20: 'SD0760'}
23-203-103,23-203-103,Crankshaft Connecting Rod for Kawasaki 650 X2 TS SC JetMate 1989-1996,95.95,57.55,True,,"New Replacement OE Kawasaki Crankshaft Connecting Rod

Complete with washers, piston pin, lower rod bearing and wrist-pin bearing.",   1986 Kawasaki X2 Rod			 1987 Kawasaki 650 SX Rod			 1987 Kawasaki X2 Rod			 1988 Kawasaki 650 SX Rod			 1988 Kawasaki X2 Rod			 1989 Kawasaki 650 SX Rod			 1989 Kawasaki Jetmate Rod			 1989 Kawasaki TS Rod			 1989 Kawasaki X2 Rod			 1990 Kawasaki 650 SX Rod			 1990 Kawasaki Jetmate Rod			 1990 Kawasaki TS Rod 1990 Kawasaki X2 Rod 1991 Kawasaki 650 SX Rod 1991 Kawasaki Jetmate Rod 1991 Kawasaki TS Rod 1991 Kawasaki X2 Rod 1992 Kawasaki 650 SX Rod 1992 Kawasaki Jetmate Rod 1992 Kawasaki SC Rod 1992 Kawasaki TS Rod 1992 Kawasaki X2 Rod 1993 Kawasaki 650 SX Rod 1993 Kawasaki SC Rod 1993 Kawasaki TS Rod 1993 Kawasaki X2 Rod 1994 Kawasaki SC Rod 1994 Kawasaki TS Rod 1994 Kawasaki X2 Rod 1995 Kawasaki SC Rod 1995 Kawasaki TS Rod 1995 Kawasaki X2 Rod 1996 Kawasaki TS Rod,{21: 'SD0761'}
